date,AAPL,Return,42d,252d,Mov_Vol
2008-05-21,178.19,-0.04235849798807503,165.8516666666667,150.63944444444445,0.02839112889609881
2008-05-22,177.05,-0.006418218181410513,166.7104761904762,150.89404761904763,0.028348487340342673
2008-05-23,181.17,0.023003638430006634,167.5702380952381,151.17373015873017,0.03103732851042444
2008-05-27,186.43,0.02862001651945066,168.6697619047619,151.46265873015872,0.031194433902855728
2008-05-28,187.01,0.003106257853258342,169.71738095238095,151.75099206349208,0.030986672155889433
2008-05-29,186.69,-0.0017126041113923452,170.74571428571429,152.02051587301588,0.02848974225025883
2008-05-30,188.75,0.010973900879897813,171.6795238095238,152.28861111111112,0.027910397593293283
2008-06-02,186.1,-0.014139224480929021,172.59880952380954,152.5572619047619,0.028486895153191766
2008-06-03,185.37,-0.003930335907207132,173.40261904761905,152.81138888888887,0.026699392840684438
2008-06-04,185.19,-0.0009715026670836866,174.16714285714284,153.05948412698413,0.02594628479169248
2008-06-05,189.43,0.02263723806627329,174.96571428571428,153.32055555555556,0.02687613685206866
2008-06-06,185.64,-0.020210248767212422,175.74666666666667,153.56488095238095,0.025384307678061886
2008-06-09,181.61,-0.021947783642567685,176.465,153.79154761904763,0.023788840732273296
2008-06-10,185.64,0.02194778364256774,177.2052380952381,154.05126984126983,0.027385761755095443
2008-06-11,180.81,-0.02636255820991254,178.00690476190476,154.29107142857143,0.02562557236213769
2008-06-12,173.26,-0.04265339970106824,178.61357142857142,154.51234126984127,0.024464066927081137
2008-06-13,172.37,-0.005150027295694114,179.1847619047619,154.72511904761907,0.023473035472207367
2008-06-16,176.84,0.025602039791742463,179.73571428571427,154.94869047619048,0.0241642524767368
2008-06-17,181.43,0.025624535424029392,180.37714285714287,155.17226190476188,0.023423493142911426
2008-06-18,178.75,-0.014881722807954766,180.79880952380952,155.390873015873,0.023210314331939094
2008-06-19,180.9,0.011956210827132507,181.10214285714287,155.6263888888889,0.025047623207332916
2008-06-20,175.27,-0.031616750316164816,181.4609523809524,155.83023809523806,0.021849675994328594
2008-06-23,173.16,-0.012111619511304924,181.7054761904762,156.0292857142857,0.021545969807705078
2008-06-24,173.25,0.0005196154962327853,181.80809523809526,156.23130952380953,0.021917629647738534
2008-06-25,177.39,0.02361506043083557,181.9904761904762,156.4604365079365,0.024805801065508948
2008-06-26,168.26,-0.05284029637818067,181.8957142857143,156.64444444444445,0.020308749484924192
2008-06-27,170.09,0.01081730660333286,181.77761904761905,156.84099206349205,0.021681311780160636
2008-06-30,167.44,-0.015702630588256015,181.62261904761903,157.0211507936508,0.019923529028509575
2008-07-01,174.68,0.04233065047961605,181.4959523809524,157.2331349206349,0.02299401852618446
2008-07-02,168.18,-0.037920894212608344,181.19214285714287,157.39587301587304,0.017607478778219488
2008-07-03,170.12,0.0114692359806808,180.84428571428572,157.54416666666665,0.015624825182050134
2008-07-07,175.16,0.029195771547764784,180.5704761904762,157.71424603174603,0.017677887917803437
2008-07-08,179.55,0.024753878738894328,180.49809523809523,157.9095634920635,0.020182296536438802
2008-07-09,174.25,-0.029962671031458693,180.2407142857143,158.07583333333335,0.017325962057059517
2008-07-10,176.63,0.013566099526718852,180.07833333333332,158.2513888888889,0.018161510242987757
2008-07-11,172.58,-0.023196252087190502,179.70738095238096,158.40420634920636,0.01590593217704277
2008-07-14,173.88,0.007504509040429742,179.3245238095238,158.54765873015873,0.014682039982155977
2008-07-15,169.64,-0.02468686151420137,178.92880952380952,158.67281746031745,0.012957912517508113
2008-07-16,172.81,0.018514180459510553,178.5259523809524,158.80734126984126,0.013755795486357678
2008-07-17,171.81,-0.005803509992024704,178.14952380952383,158.94103174603174,0.013749487189725034
2008-07-18,165.15,-0.03953506323707698,177.71023809523808,159.04083333333332,0.01040736069540223
2008-07-21,166.29,0.006879100263024229,177.24333333333334,159.13027777777776,0.00917556460007036
2008-07-22,162.02,-0.026013467697477716,176.85833333333332,159.2029761904762,0.007558784960599396
2008-07-23,166.26,0.025833043700596667,176.60142857142858,159.32746031746032,0.013171633311800834
2008-07-24,159.03,-0.04445996443511763,176.07428571428574,159.4138492063492,0.009273731659993659
2008-07-25,162.12,0.019243938092283457,175.4954761904762,159.47781746031745,0.006597381218571589
2008-07-28,154.4,-0.048790164169431945,174.71904761904761,159.51968253968255,0.004458440424662167
2008-07-29,157.08,0.01720859211913305,174.01404761904763,159.58178571428573,0.006611249656414331
2008-07-30,159.88,0.017668304133313897,173.32666666666668,159.693373015873,0.012185665823589344
2008-07-31,158.95,-0.005833846486311156,172.68023809523808,159.7884126984127,0.010287872247314433
2008-08-01,156.66,-0.01451183541771919,171.99666666666667,159.86845238095236,0.008682253411006266
2008-08-04,153.23,-0.022137791349007695,171.2357142857143,159.95329365079365,0.009466444506854937
2008-08-05,160.64,0.04722577591327946,170.5502380952381,160.05404761904762,0.010837559200247775
2008-08-06,164.19,0.021858457320572205,170.0395238095238,160.16976190476194,0.012317063275075937
2008-08-07,163.57,-0.0037832605535022203,169.60999999999999,160.2870634920635,0.012556396136244909
2008-08-08,169.55,0.03590683530121349,169.22690476190476,160.45833333333334,0.018506117253225193
2008-08-11,173.56,0.023375492358502337,169.05428571428573,160.65103174603178,0.02067526290517617
2008-08-12,176.73,0.01809978327155573,169.13690476190476,160.8452380952381,0.02042487586450631
2008-08-13,179.3,0.014437236409381552,169.30190476190478,161.0645634920635,0.02321564308548957
2008-08-14,179.32,0.00011153867615155138,169.36095238095237,161.30035714285717,0.02535598965597214
2008-08-15,175.74,-0.020166289219541493,169.22547619047617,161.53325396825394,0.02560107308846362
2008-08-18,175.39,-0.001993564297650753,169.1454761904762,161.74488095238095,0.02283531191673974
2008-08-19,173.53,-0.010661570667633968,168.97,161.94849206349204,0.02208117559208536
2008-08-20,175.84,0.013223995552898818,168.98357142857142,162.14003968253968,0.020215383040919473
2008-08-21,174.29,-0.008853912121721038,169.01047619047617,162.30583333333334,0.017264312479087447
2008-08-22,176.79,0.01424200898434147,169.0947619047619,162.4872619047619,0.01884978472435457
2008-08-25,172.55,-0.024275537973919098,168.9795238095238,162.63507936507938,0.015319688422102417
